TYPE,NAME / EMAIL,LOGIN CODE,PASSWORD
,,,
--- TEAM LOGINS ---,,,
TEAM,AID-0,1011,easy
TEAM,AID-1,1001,easy
TEAM,AID-2,1002,easy
TEAM,AID-3,1003,easy
TEAM,AID-4,1004,easy
TEAM,AID-5,1005,easy
TEAM,AID-6,1006,easy
TEAM,AID-7,1007,easy
TEAM,AID-8,1008,easy
TEAM,AID-9,1009,easy
TEAM,AID-10,1010,easy
,,,
--- COORDINATOR LOGINS ---,,,
COORDINATOR,coordinator01@example.test,,easy12
COORDINATOR,coordinator02@example.test,,easy12
COORDINATOR,coordinator03@example.test,,easy12
COORDINATOR,coordinator04@example.test,,easy12
COORDINATOR,coordinator05@example.test,,easy12
COORDINATOR,coordinator06@example.test,,easy12
COORDINATOR,coordinator07@example.test,,easy12
COORDINATOR,coordinator08@example.test,,easy12
COORDINATOR,coordinator09@example.test,,easy12
COORDINATOR,coordinator10@example.test,,easy12
,,,
--- ADMIN LOGIN ---,,,
ADMIN,admin@championship.com,,admin123
