full_name,email,role,temporary_password
Coordinator One,coordinator01@example.test,COORDINATOR,Coord!2026-01
Coordinator Two,coordinator02@example.test,COORDINATOR,Coord!2026-02
Coordinator Three,coordinator03@example.test,COORDINATOR,Coord!2026-03
Coordinator Four,coordinator04@example.test,COORDINATOR,Coord!2026-04
Coordinator Five,coordinator05@example.test,COORDINATOR,Coord!2026-05
Coordinator Six,coordinator06@example.test,COORDINATOR,Coord!2026-06
Coordinator Seven,coordinator07@example.test,COORDINATOR,Coord!2026-07
Coordinator Eight,coordinator08@example.test,COORDINATOR,Coord!2026-08
Coordinator Nine,coordinator09@example.test,COORDINATOR,Coord!2026-09
Coordinator Ten,coordinator10@example.test,COORDINATOR,Coord!2026-10
